Tweeter Account,Tweets,Created Date,Compound Score,Positive Score,Negative Score,Neutral Score
CNN,"First responders in Russellville, Arkansas, went above and beyond the call of duty to surprise a teen with autism a… https://t.co/AsHyMnBQy4",Wed Jun 06 19:31:43 +0000 2018,0.27,0.10,0.00,0.90
CNN,RT @CNNOpinion: Trump aide Michael Kratsios: The future of American aviation is all about drones https://t.co/SB2MGqhXgA,Wed Jun 06 19:27:43 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Democratic Rep. Nydia Velázquez is calling for ""an independent commission similar to what we had after 9/11"" to inv… https://t.co/LXGm56LzOr",Wed Jun 06 19:24:12 +0000 2018,0.00,0.00,0.00,1.00
CNN,The clothes of a leading figure in Germany's far-right Alternative for Germany party were stolen while he was swimm… https://t.co/Jmriq1CvIa,Wed Jun 06 19:20:06 +0000 2018,-0.13,0.12,0.14,0.74
CNN,"History according to Trump, War of 1812 edition | Analysis by CNN's Z. Byron Wolf https://t.co/z8fEjVSyrw https://t.co/sIahAp9lVE",Wed Jun 06 19:15:00 +0000 2018,-0.60,0.00,0.21,0.79
CNN,A middle school gave graduates a gift it hopes they never have to use -- bullet- and stab-resistant ballistic shiel… https://t.co/6kaFkHyJVE,Wed Jun 06 19:09:15 +0000 2018,0.69,0.25,0.00,0.75
CNN,10 headlines that will make you wonder how Scott Pruitt still has a job | Analysis by @CillizzaCNN… https://t.co/aTyZdLu7LK,Wed Jun 06 19:02:38 +0000 2018,0.00,0.00,0.00,1.00
CNN,Lava flow evaporated Hawaii's largest freshwater lake within hours https://t.co/WIDroYynU9 https://t.co/JwrD3kzCb0,Wed Jun 06 18:53:30 +0000 2018,0.00,0.00,0.00,1.00
CNN,A government watchdog has cleared Interior Secretary Ryan Zinke from improper political activity when he spoke to a… https://t.co/QZ2cAMKmtM,Wed Jun 06 18:46:06 +0000 2018,0.10,0.08,0.00,0.92
CNN,"National Park Service acting director Paul Daniel Smith apologized to employees in an email for behaving ""in an ina… https://t.co/sjPiLUeXvk",Wed Jun 06 18:44:15 +0000 2018,0.32,0.11,0.00,0.89
CNN,The Consumer Financial Protection Bureau has effectively dismissed all the members of an outside board that advises… https://t.co/mwZibCPjFs,Wed Jun 06 18:33:04 +0000 2018,0.44,0.15,0.00,0.85
CNN,Why people aren't feeling the strength of the economy https://t.co/1Hfu2CyNnx https://t.co/X7MPPZ032t,Wed Jun 06 18:31:18 +0000 2018,-0.46,0.00,0.31,0.69
CNN,"RT @CNNnewsroom: ""The American people are not props,""says Ziad Ahmed, a student activist who is calling for Muslims to boycott Trump’s Ifta…",Wed Jun 06 18:30:20 +0000 2018,-0.32,0.00,0.10,0.90
CNN,The former head of USA Gymnastics exercised his Fifth Amendment right to avoid self-incrimination and declined to t… https://t.co/1pOJJLjD4d,Wed Jun 06 18:18:24 +0000 2018,-0.30,0.00,0.11,0.89
CNN,"RT @CNNnewsroom: Whether or not a person is pardoned ""shouldn't be based on which celebrities have access to the President,"" says Rep. Ted…",Wed Jun 06 18:17:22 +0000 2018,-0.17,0.00,0.07,0.93
CNN,"How Apple, which is currently worth $945 billion and on track to become the first-ever trillion-dollar company, has… https://t.co/n5sQ6hRTyh",Wed Jun 06 18:07:01 +0000 2018,0.23,0.10,0.00,0.91
CNN,"These unusual-looking concrete houses will be constructed using a 3D printer in Eindhoven, the Netherlands:… https://t.co/6jXo8LlcMI",Wed Jun 06 18:00:00 +0000 2018,0.00,0.00,0.00,1.00
CNN,"""We thank our great Singaporean hosts for their hospitality."" Donald Trump and Kim Jong Un will meet at the Capella… https://t.co/Ab0EaE5Cta",Wed Jun 06 17:55:30 +0000 2018,0.77,0.26,0.00,0.74
CNN,"From delivery to aviation, Dubai is at the forefront of drone experimentation. Here's a look at what the future hol… https://t.co/q0S1qZFoHp",Wed Jun 06 17:45:00 +0000 2018,0.00,0.00,0.00,1.00
CNN,It's hard to remember a time when Starbucks wasn't on every big-city corner and in every US suburban shopping cente… https://t.co/S6lkccOuee,Wed Jun 06 17:43:50 +0000 2018,-0.10,0.00,0.07,0.93
CNN,British troops burned down the White House during the War of 1812. Historians note the British attack on Washington… https://t.co/da00rwRB2h,Wed Jun 06 17:33:39 +0000 2018,-0.79,0.00,0.28,0.72
CNN,"According to the sources, Trudeau pressed Trump on how he could justify the tariffs as a ""national security"" issue.… https://t.co/EMylmUA4zt",Wed Jun 06 17:33:06 +0000 2018,0.34,0.12,0.00,0.88
CNN,President Trump and Canadian PM Justin Trudeau had a testy phone call on May 25 over new tariffs imposed by the Tru… https://t.co/UEms7CfP5A,Wed Jun 06 17:31:49 +0000 2018,-0.08,0.00,0.06,0.94
CNN,Republican megadonor and billionaire David Koch is stepping down from his role at Koch Industries and other organiz… https://t.co/C93TWf7bxd,Wed Jun 06 17:22:41 +0000 2018,0.00,0.00,0.00,1.00
CNN,Democratic Sen. Dick Durbin says healthcare will be the party's priority for the canceled August recess… https://t.co/9qBZTGZYJI,Wed Jun 06 17:21:51 +0000 2018,-0.51,0.00,0.17,0.83
CNN,The maker of Jack Daniel's is worried about the impact of a trade war https://t.co/5rEiKMiNBa https://t.co/GfJJhgIgBC,Wed Jun 06 17:10:09 +0000 2018,-0.73,0.00,0.32,0.68
CNN,"Things are a little bit cheaper at Costco, Target, Walmart and Kroger this year thanks to a price war… https://t.co/gGc6Ozrila",Wed Jun 06 17:00:03 +0000 2018,0.44,0.15,0.00,0.85
CNN,"Steamboat Geyser in Yellowstone National Park is erupting unusually frequently. On June 4, the geyser had its eight… https://t.co/FJhiVtbNli",Wed Jun 06 16:55:36 +0000 2018,0.00,0.00,0.00,1.00
CNN,Paul Manafort could be in big trouble | By Paul Callan via @CNNOpinion https://t.co/MPcnd4ekF8 https://t.co/SrLVt49ThU,Wed Jun 06 16:53:29 +0000 2018,-0.40,0.00,0.17,0.83
CNN,"How much longer can the US economy keep rolling? Tune in to @CNNMoney's ""Markets Now at 12:45pm ET to see economist… https://t.co/F4oK0zR21U",Wed Jun 06 16:40:09 +0000 2018,0.00,0.00,0.00,1.00
CNN,BREAKING: President Trump has commuted the life sentence of Alice Johnson following a White House meeting last week… https://t.co/xLGQ5vvNtQ,Wed Jun 06 16:39:16 +0000 2018,0.08,0.07,0.00,0.93
CNN,"President Trump says first lady Melania Trump is ""doing really well"" ahead of her first public appearance since May… https://t.co/mNU2ij342U",Wed Jun 06 16:28:36 +0000 2018,0.34,0.11,0.00,0.89
CNN,"""It wasn't my finest hour."" Former President Bill Clinton says he was mad at himself over his recent comments about… https://t.co/ueAskMrNnD",Wed Jun 06 16:23:13 +0000 2018,-0.49,0.00,0.14,0.86
CNN,The European Union's top court ruled that same-sex couples are entitled to the same residency rights as other marri… https://t.co/jExDrtdNck,Wed Jun 06 16:11:08 +0000 2018,0.44,0.18,0.00,0.82
CNN,"House Speaker Paul Ryan says he agrees with Republican Rep. Trey Gowdy that the FBI did ""exactly"" what it was suppo… https://t.co/Xhbm8kD6MT",Wed Jun 06 16:03:05 +0000 2018,0.20,0.08,0.00,0.92
CNN,Watch these homes being built using a 3D printer https://t.co/igaBP4BFwG https://t.co/sGcYS89MDO,Wed Jun 06 15:57:00 +0000 2018,0.00,0.00,0.00,1.00
CNN,World Cup 2022: Meet the Qataris making the most of soccer's showcase https://t.co/DjpV7FTj0j https://t.co/stmyDwlsrb,Wed Jun 06 15:49:22 +0000 2018,0.00,0.00,0.00,1.00
CNN,"Will we ever fly like the Jetsons? This company just unveiled its first commercial flying car, Flyer — and… https://t.co/ch1x4FM5EX",Wed Jun 06 15:38:22 +0000 2018,0.36,0.12,0.00,0.88
CNN,Bill Gates is giving 2018 college grads his favorite new book for free https://t.co/vIe4FaQTFq,Wed Jun 06 15:36:18 +0000 2018,0.83,0.44,0.00,0.56
CNN,RT @cnni: JUST IN: Dozens of firefighters are tackling a blaze at a hotel in the Knightsbridge area of London https://t.co/ChtVjxJEv5 https…,Wed Jun 06 15:34:45 +0000 2018,0.00,0.00,0.00,1.00
CNN,"""On a personal level, we can all follow the ethos of the Miss America competition, and make a conscious effort to s… https://t.co/T3LUphyJWN",Wed Jun 06 15:26:13 +0000 2018,-0.15,0.00,0.07,0.93
CNN,"Most Americans say they aren't booking a vacation to space -- except millennials. 63% say they'd be up for it, acco… https://t.co/TQ8Mr0ffOc",Wed Jun 06 15:14:16 +0000 2018,0.00,0.00,0.00,1.00
CNN,"CNN is launching “Anderson Cooper Full Circle” — a daily interactive global news brief on Facebook Watch, every wee… https://t.co/9GJ59EhFij",Wed Jun 06 15:04:09 +0000 2018,0.00,0.00,0.00,1.00
CNN,President Trump has unblocked the 7 plaintiffs who sued him and members of his administration for blocking them on… https://t.co/dET0H76kum,Wed Jun 06 15:01:56 +0000 2018,-0.38,0.00,0.13,0.87
CNN,"The White House has assembled the paperwork to pardon dozens of people, two sources with knowledge tell CNN, signal… https://t.co/SLOtjill8C",Wed Jun 06 14:51:07 +0000 2018,0.32,0.11,0.00,0.89
Fox News,".@SeanHannity on the commutation of Alice Johnson: ""This is likely just the beginning of what is a long needed conv… https://t.co/NJgae3AEVG",Thu Jun 07 01:15:33 +0000 2018,0.00,0.00,0.00,1.00
Fox News,.@POTUS hosts the @WhiteHouse iftar for the Muslim holiday of Ramadan. https://t.co/LGiHoC57y9,Thu Jun 07 01:02:07 +0000 2018,0.40,0.20,0.00,0.80
Fox News,"OUT OF THE DIAMOND AND INTO A CUP: A San Diego Padres fan caught a foul ball in her beer, and subsequently chugged… https://t.co/LA2b7l9BN6",Thu Jun 07 01:01:16 +0000 2018,0.66,0.22,0.00,0.78
Fox News,DOJ tells Graham Rosenstein won't recuse from Mueller probe unless officials deem it necessary https://t.co/E8h9Yp47qc,Thu Jun 07 00:58:20 +0000 2018,0.00,0.00,0.00,1.00
Fox News,WATCH: D-Day Survivors Recall Invasion of Normandy 74 Years Later https://t.co/DvAKo36FLs,Thu Jun 07 00:53:43 +0000 2018,0.00,0.00,0.00,1.00
Fox News,"Who is Alice Marie Johnson, the great-grandmother Trump is granting clemency to? https://t.co/rzdrSLgrUk",Thu Jun 07 00:34:19 +0000 2018,0.32,0.16,0.00,0.84
Fox News,Connecticut man cops to trafficking in endangered sperm whale teeth https://t.co/Wh3GnILWLc,Thu Jun 07 00:31:16 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@ericswalwell: ""Jim @Comey is an imperfect man, all of us are, but imperfect people are still capable of telling t… https://t.co/rTXjiIIm5p",Thu Jun 07 00:14:32 +0000 2018,-0.05,0.13,0.18,0.69
Fox News,Bush airport resumes operation following bomb scare caused by 'impatient' passenger https://t.co/vatbGdFANz,Thu Jun 07 00:07:17 +0000 2018,-0.75,0.00,0.39,0.61
Fox News,"Earlier, @SenTedCruz criticized the Obama administration amid reports that it gave Iran access to the United States… https://t.co/0D6jjxEL0u",Wed Jun 06 23:59:47 +0000 2018,0.08,0.13,0.12,0.75
Fox News,Parkland high school monitor who saw Nikolas Cruz before shooting is barred from grounds. https://t.co/73QghMBEeE,Wed Jun 06 23:55:00 +0000 2018,0.00,0.00,0.00,1.00
Fox News,'The Media Is Totally Out of Line': #TheFive Reacts to Rumors About Melania Trump. https://t.co/NcEpDJ7Taj,Wed Jun 06 23:49:29 +0000 2018,0.00,0.00,0.00,1.00
Fox News,.@FloydMayweather tops Forbes' list as the highest-paid athlete. (via @MRichardson713) https://t.co/RhlxHu0Dz0,Wed Jun 06 23:42:03 +0000 2018,0.51,0.25,0.00,0.75
Fox News,".@newtgingrich: ""I think among Republicans, [@POTUS] is probably the most popular president at this stage of any Re… https://t.co/lYMnsNP6SD",Wed Jun 06 23:39:50 +0000 2018,0.48,0.15,0.00,0.85
Fox News,UPDATE: Alice Johnson has been released from federal prison after a commutation from @POTUS and lobbying from… https://t.co/N8OORmx43s,Wed Jun 06 23:31:14 +0000 2018,-0.56,0.00,0.23,0.77
Fox News,".@GovMikeHuckabee: ""A lot of the people that we're incarcerating, we need to be putting them in treatment centers.""… https://t.co/F5lIoT3iQG",Wed Jun 06 23:25:22 +0000 2018,0.00,0.00,0.00,1.00
Fox News,"Sen. @LindseyGrahamSC on Deputy AG Rod Rosenstein and the Mueller probe: ""I don't know how you can oversee an inves… https://t.co/c9MOHfaKuc",Wed Jun 06 23:19:14 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@JonahNRO on Singapore summit: ""I think the best you can get out of this is just to determine whether or not the N… https://t.co/nIzHW12Oyx",Wed Jun 06 23:13:02 +0000 2018,0.64,0.15,0.00,0.85
Fox News,".@LindseyGrahamSC on the FBI's handling of events surrounding the 2016 election: ""We'll see what the [inspector gen… https://t.co/k9pHsbjXHf",Wed Jun 06 23:09:56 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@SusanPage on Singapore summit: ""I can't imagine that on June 12th they're going to reach a verifiable, in concret… https://t.co/SKiViKKSCF",Wed Jun 06 23:01:20 +0000 2018,0.03,0.06,0.00,0.94
Fox News,South Carolina prisons using drones to combat contraband deliveries. https://t.co/TF55LNstkH,Wed Jun 06 23:01:15 +0000 2018,-0.34,0.00,0.21,0.79
Fox News,Bumper car catches on fire at North Carolina amusement park https://t.co/gGPRXhTG2e,Wed Jun 06 22:54:46 +0000 2018,0.03,0.18,0.17,0.65
Fox News,This @GrandCanyonNPS squirrel had no shame in asking a tourist for a quick drink. https://t.co/HkNTcPQgsP,Wed Jun 06 22:51:13 +0000 2018,-0.65,0.00,0.33,0.68
Fox News,"Belmont Stakes horses to watch, from Triple Crown hopeful Justify to Gronkowski https://t.co/MphMxG8cg1",Wed Jun 06 22:44:18 +0000 2018,0.51,0.22,0.00,0.78
Fox News,"Trump forced Kim Jong Un to 'beg' for meeting, Giuliani says https://t.co/mcs3ELY43J",Wed Jun 06 22:35:55 +0000 2018,-0.46,0.00,0.21,0.79
Fox News,"GERBER BABIES UNITE: One-year-old Lucas Warren, the newest Gerber Baby, recently met with 91-year-old Ann Turner Co… https://t.co/gSCx56Td7v",Wed Jun 06 22:32:10 +0000 2018,0.00,0.00,0.00,1.00
Fox News,'A Sanctuary City': Philadelphia Mayor Kenney Dances to Celebrate Court Win Against Trump https://t.co/hzd4V8KVOl,Wed Jun 06 22:26:05 +0000 2018,0.82,0.39,0.00,0.61
Fox News,.@SenateMajLdr cancels Senate's traditional August recess. @MikeEmanuelFox has the story. #SpecialReport… https://t.co/hTkXhrO9OI,Wed Jun 06 22:15:31 +0000 2018,-0.23,0.00,0.15,0.85
Fox News,"South Carolina restaurant manager pleads guilty to enslaving, abusing mentally challenged black worker https://t.co/9dezylDRSC",Wed Jun 06 22:09:29 +0000 2018,-0.74,0.00,0.40,0.60
Fox News,"OPINION: California breaks Democrats' hearts: 'Big, blue shutout' fails and other takeaways from Tuesday's primaries https://t.co/8mub9U2SiW",Wed Jun 06 22:06:02 +0000 2018,-0.42,0.00,0.16,0.84
Fox News,".@JesseBWatters on @BillClinton: ""Only a Democrat can get a do-over in the mainstream media."" #TheFive… https://t.co/NqSSKZoJNC",Wed Jun 06 21:56:33 +0000 2018,0.00,0.00,0.00,1.00
Fox News,"Missouri men bound, set woman on fire when she refused to give combination to safe, police say. https://t.co/3pzD9sf6s1",Wed Jun 06 21:51:03 +0000 2018,-0.18,0.13,0.20,0.67
Fox News,"Severed rattlesnake head bites Texas man, nearly kills him. https://t.co/wlq7vCuvXJ",Wed Jun 06 21:43:49 +0000 2018,-0.72,0.00,0.43,0.57
Fox News,"Kim Jong Un is terrified someone will kill him at the Singapore summit, report says
https://t.co/CSRoHfKShI",Wed Jun 06 21:34:40 +0000 2018,-0.87,0.00,0.38,0.62
Fox News,"'Highly partisan' Mueller team is trying hard to 'frame' @POTUS, Giuliani says in Israel.
https://t.co/l1HOa4rGAl",Wed Jun 06 21:27:45 +0000 2018,-0.10,0.00,0.09,0.91
Fox News,.@greggutfeld on the upcoming North Korea summit. https://t.co/Vio4w2SKAj,Wed Jun 06 21:20:13 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@kimguilfoyle: ""If ultimately the goal gets achieved, and they accomplish something, and they're able to denuclear… https://t.co/oUcoa9g03C",Wed Jun 06 21:16:46 +0000 2018,0.42,0.15,0.00,0.85
Fox News,"It wasn't the McCain joke, but the subsequent response, that cost former White House aide Kelly Sadler her job. https://t.co/OpuFc1wyED",Wed Jun 06 21:09:07 +0000 2018,-0.11,0.00,0.07,0.93
Fox News,"Stormy Daniels sues her former lawyer, says he became 'puppet' for Trump  https://t.co/nHQaf4Kpwc",Wed Jun 06 21:01:56 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@RandPaul: ""Trade is largely beneficial to this country and one of the things that people misinterpret is they tal… https://t.co/SPUm7nZE5q",Wed Jun 06 21:00:46 +0000 2018,0.44,0.13,0.00,0.87
Fox News,"Manchin says he regrets Clinton support, could back Trump in 2020 https://t.co/YnAQ7C97PV",Wed Jun 06 20:59:48 +0000 2018,0.05,0.18,0.16,0.66
Fox News,".@RandPaul on NK summit: ""I think it's a mistake to start using national security wavers to invoke tariffs on allie… https://t.co/ijkws6eDsJ",Wed Jun 06 20:39:50 +0000 2018,0.00,0.10,0.10,0.79
Fox News,RT @FoxBusiness: #StockAlert: The Dow Jones Industrial Average ends at session highs; New record closes for Nasdaq and Russell 2000 for the…,Wed Jun 06 20:32:36 +0000 2018,0.00,0.00,0.00,1.00
Fox News,Rep. Daniel Webster: Trump takes action to improve veterans’ health care https://t.co/iC58PQY27p,Wed Jun 06 20:29:54 +0000 2018,0.73,0.38,0.00,0.62
Fox News,.@IHOP says it's changing iconic name; pancake lovers flip out https://t.co/9qLNy1GLlV,Wed Jun 06 20:24:25 +0000 2018,0.53,0.25,0.00,0.75
Fox News,".@AshWebsterFBN on tariffs: ""We're prideful now that we're finally firing back in a trade war that's gone on for de… https://t.co/3d6oza3Ohv",Wed Jun 06 20:21:19 +0000 2018,-0.74,0.00,0.26,0.74
Fox News,"Mark Penn: ""These tariffs go right to the sweet spot of Indiana through Pennsylvania. And so it's important that De… https://t.co/tcDOGNRA5i",Wed Jun 06 20:16:17 +0000 2018,0.62,0.21,0.00,0.79
Fox News,".@cvpayne on G7 summit: ""The markets certainly sense that @POTUS is gonna get something huge here...We're in a hot… https://t.co/aSoHGpf2XD",Wed Jun 06 20:13:27 +0000 2018,0.57,0.22,0.00,0.78
Fox News,Stocks surging despite trade war fears. @TeamCavuto https://t.co/mbiIkoLFHd https://t.co/8RfpLQbU0g,Wed Jun 06 20:07:58 +0000 2018,0.67,0.44,0.00,0.56
Fox News,President @realDonaldTrump to meet with leaders of Europe and Canada amid fears of trade war. @BlakeBurman has the… https://t.co/PSSPvwHvAa,Wed Jun 06 20:07:15 +0000 2018,-0.77,0.00,0.28,0.72
Fox News,Lobbying for Trump pardons hits a fever pitch https://t.co/jkBHaPk1I1,Wed Jun 06 20:04:12 +0000 2018,0.23,0.23,0.14,0.63
Fox News,Bill to allow importing of exotic animals for hunting shut down by Rhode Island lawmakers. https://t.co/wNHPrL0sQM,Wed Jun 06 19:54:04 +0000 2018,0.23,0.11,0.00,0.89
Fox News,Four ISIS terrorists are dead after U.S. airstrikes in Libya today. @ShepNewsTeam https://t.co/ScC3r7H6tS,Wed Jun 06 19:46:20 +0000 2018,-0.86,0.00,0.43,0.57
Fox News,Investigators in Virginia say a soldier was on drugs when he stole an armored vehicle and led police on a chase for… https://t.co/OTsagIHek6,Wed Jun 06 19:42:35 +0000 2018,0.00,0.00,0.00,1.00
Fox News,OPINION: Dear Kate Spade: Your handbags (and earmuffs) brought us so much joy -- I'm sorry you were so sad https://t.co/lYmrQZwkAk,Wed Jun 06 19:37:07 +0000 2018,0.34,0.23,0.18,0.59
Fox News,Congressional letters obtained by Fox News show that former FBI Deputy Director Andrew McCabe wants a special statu… https://t.co/zVY4VthtQL,Wed Jun 06 19:36:17 +0000 2018,0.40,0.14,0.00,0.86
Fox News,"Army prototypes new self-powering 'Iron Man' soldier suits.
https://t.co/T57D4DJuTh",Wed Jun 06 19:33:33 +0000 2018,0.00,0.00,0.00,1.00
Fox News,Who is John Cox? 3 things to know about the Republican California governor hopeful. https://t.co/ELRROn5jlf,Wed Jun 06 19:23:34 +0000 2018,0.51,0.20,0.00,0.80
Fox News,"DOJ fires back at Dems' claim of political bias over immigration judge hiring - via @brookefoxnews 
https://t.co/a12qLY8Kn6",Wed Jun 06 19:17:54 +0000 2018,-0.10,0.00,0.09,0.92
Fox News,Florida's 'city of the future' is the first solar-powered town in America. https://t.co/F53RUT2hPq,Wed Jun 06 19:15:30 +0000 2018,0.00,0.00,0.00,1.00
Fox News,"Delaware boy dreams of becoming a police officer after a trooper helps his family.
https://t.co/WECrKqh7RH",Wed Jun 06 19:10:21 +0000 2018,0.65,0.33,0.00,0.68
Fox News,".@POTUS on @FLOTUS during a @FEMA briefing: ""She went through a little rough patch, but she's doing great and we're… https://t.co/5QXbBVHcte",Wed Jun 06 19:04:56 +0000 2018,0.77,0.24,0.00,0.76
Fox News,Illegal immigrant making pizza delivery at New York's Fort Hamilton arrested by ICE https://t.co/9w0ZJ0aAXt,Wed Jun 06 19:00:00 +0000 2018,-0.77,0.00,0.36,0.64
Fox News,RT @foxnewscareers: Fox News is partnering with Facebook Watch to provide viewers with high quality and timely news. If you're a Content Pr…,Wed Jun 06 18:51:24 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@stevestivers on California primaries: ""We tested our turnout messages, and they worked. We had more Republican tu… https://t.co/N2qSqI7Zia",Wed Jun 06 18:46:43 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@GavinNewsom to face John Cox in California governor's race in November. @pdoocy has the story from Del Mar, Calif… https://t.co/Jzr9rUD9J9",Wed Jun 06 18:41:07 +0000 2018,0.00,0.00,0.00,1.00
Fox News,"Before signing the VA Mission Act of 2018 today, President @realDonaldTrump praised America's veterans and promised… https://t.co/JdCG3SWGHO",Wed Jun 06 18:40:16 +0000 2018,0.49,0.17,0.00,0.83
Fox News,"San Diego Padres fan catches foul ball in beer cup, celebrates by chugging drink  https://t.co/qmzMW3MISE",Wed Jun 06 18:37:15 +0000 2018,0.72,0.32,0.00,0.68
Fox News,".@POTUS on trade: ""We have the worst deals ever made. NAFTA is a disaster. World Trade Organization is a disaster."" https://t.co/U3TkJ6DN4k",Wed Jun 06 18:34:42 +0000 2018,-0.85,0.00,0.33,0.68
Fox News,".@POTUS: ""We have $1.6 billion being spent on phase one of the wall."" https://t.co/fwK0CQxlrd",Wed Jun 06 18:24:03 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@POTUS: ""We're now exporting energy for the first time."" https://t.co/3u9wim7HF3",Wed Jun 06 18:22:41 +0000 2018,0.27,0.19,0.00,0.81
Fox News,".@POTUS: ""We have the worst trade deals ever made and we're gonna have now fair trade deals."" https://t.co/Oqp6JNC2PZ",Wed Jun 06 18:19:43 +0000 2018,-0.42,0.10,0.18,0.71
Fox News,.@POTUS and @FLOTUS participate in a FEMA Hurricane briefing.  https://t.co/NbfBlPj0jr,Wed Jun 06 18:18:19 +0000 2018,0.00,0.00,0.00,1.00
Fox News,.@SenTedCruz/@SenAlexander survey of priorities. @dailybriefing https://t.co/7G9a0p6BV5,Wed Jun 06 18:13:05 +0000 2018,0.00,0.00,0.00,1.00
Fox News,".@tedcruz: ""In the last year and a half we've accomplished a tremendous amount."" @dailybriefing https://t.co/urRb8y2y8s",Wed Jun 06 18:11:58 +0000 2018,0.44,0.20,0.00,0.81
Fox News,"Nevada girl, 10, honored for shielding her young relatives from barrage of gunfire in Walmart parking lot (via… https://t.co/oTQJ29a2j2",Wed Jun 06 18:05:00 +0000 2018,0.59,0.17,0.00,0.83
Fox News,Teacher removed from school after being accused of taking bribes from students. https://t.co/KUCK7qrjZG,Wed Jun 06 18:02:23 +0000 2018,-0.30,0.00,0.15,0.84
Fox News,".@newtgingrich: ""It's a traffic jam [@TheDemocrats] created."" #OutnumberedOT https://t.co/h1UrQ0vBaG",Wed Jun 06 17:49:26 +0000 2018,0.00,0.00,0.00,1.00
Fox News,Woman pleads guilty to making up rape allegations against two college football players https://t.co/tNyBNuwGvI,Wed Jun 06 17:45:15 +0000 2018,-0.82,0.00,0.39,0.61
Fox News,Rainbow spotted in crater of Hawaii's Kilauea volcano https://t.co/PE9rSHJX1s,Wed Jun 06 17:34:05 +0000 2018,0.00,0.00,0.00,1.00
Fox News,Moments ago @KimKardashian tweeted out about President @realDonaldTrump commuting the life sentence for Alice Marie… https://t.co/l403p01bMp,Wed Jun 06 17:31:36 +0000 2018,0.08,0.08,0.00,0.92
